symbol,current_price,price_change_percentage_24h,market_cap,total_volume,high_24h,low_24h,tendencia
kcs,15.97,-0.22603,2071938324,7499993.0,16.11,15.93,Tendencia estable
reth,5138.31,0.10406,2013478096,10566557.0,5239.34,5080.05,Tendencia estable
gt,16.88,2.9503,2010373167,29589664.0,17.55,16.39,Tendencia moderada alcista
vet,0.0230961,-1.2575,1985917014,40720426.0,0.02415076,0.02309114,Tendencia moderada bajista
atom,4.14,-2.40492,1951049828,111200368.0,4.35,4.13,Tendencia moderada bajista
pengu,0.03099702,0.37673,1948838361,348253890.0,0.03226834,0.0305652,Tendencia estable
algo,0.219355,-1.5063,1929517220,110258430.0,0.230138,0.218487,Tendencia moderada bajista
khype,48.59,-1.387,1920968078,32999999.0,51.01,48.09,Tendencia moderada bajista
rseth,4735.41,0.08885,1878219487,2448597.0,4831.42,4692.46,Tendencia estable
flr,0.02466176,-1.81217,1872387008,16610373.0,0.02530167,0.02457105,Tendencia moderada bajista
usdtb,0.999907,0.01365,1827406661,2895390.0,1.003,0.994711,Tendencia estable
render,3.49,-2.38944,1808306969,78959753.0,3.73,3.47,Tendencia moderada bajista
hash,0.03629558,-3.81852,1806487216,14498.47,0.03876687,0.03508314,Tendencia moderada bajista
sei,0.290456,-0.78806,1780397167,157933006.0,0.306116,0.289076,Tendencia estable
2z,0.501074,-2.96512,1741284241,199436106.0,0.543053,0.497003,Tendencia moderada bajista
usdf,0.99913,0.08435,1727611944,9367842.0,1.001,0.996285,Tendencia estable
bfusd,0.999666,-0.03388,1699680184,5342435.0,1.0,0.999484,Tendencia estable
oseth,4731.47,0.00749,1698282056,2733553.0,4828.36,4687.2,Tendencia estable
xpl,0.934114,6.35723,1687334652,2181016443.0,0.946736,0.839408,Tendencia fuerte alcista
lseth,4849.07,0.04895,1615194138,928482.0,4945.26,4810.3,Tendencia estable
fil,2.32,-0.24423,1611625657,195588522.0,2.43,2.31,Tendencia estable
bonk,2.041e-05,2.51931,1580861066,492212308.0,2.163e-05,1.977e-05,Tendencia moderada alcista
sky,0.067236,-1.76488,1571807370,18639772.0,0.07046,0.067243,Tendencia moderada bajista
trump,7.75,-0.12235,1549637101,268902466.0,7.9,7.71,Tendencia estable
qnt,104.73,-1.02427,1523589019,22001731.0,107.17,104.36,Tendencia moderada bajista
fet,0.582508,-1.59967,1516100167,73781959.0,0.61175,0.580604,Tendencia moderada bajista
lbtc,121989.0,1.39952,1496832545,13134758.0,123776.0,120011.0,Tendencia moderada alcista
imx,0.757627,7.23685,1470618842,98125456.0,0.806893,0.706498,Tendencia fuerte alcista
